"location","date","age_group","target","value","population"
"41","2022-12-03","0.5-0.99","inc hosp",9.277752,20526
"41","2022-11-26","0.5-0.99","rate hosp",101.7,20526
"41","2022-11-26","0.5-0.99","inc hosp",20.874942,20526
"41","2022-11-19","0.5-0.99","rate hosp",101.7,20526
"41","2022-11-19","0.5-0.99","inc hosp",20.874942,20526
"41","2022-11-12","0.5-0.99","rate hosp",90.4,20526
"41","2022-11-12","0.5-0.99","inc hosp",18.555504,20526
"41","2022-11-05","0.5-0.99","rate hosp",33.9,20526
"41","2022-11-05","0.5-0.99","inc hosp",6.958314,20526
"41","2022-10-29","0.5-0.99","rate hosp",11.3,20526
"41","2022-10-29","0.5-0.99","inc hosp",2.319438,20526
"41","2022-10-22","0.5-0.99","rate hosp",11.3,20526
"41","2022-10-22","0.5-0.99","inc hosp",2.319438,20526
"41","2022-10-15","0.5-0.99","rate hosp",11.3,20526
"41","2022-10-15","0.5-0.99","inc hosp",2.319438,20526
"41","2022-10-08","0.5-0.99","rate hosp",0,20526
"41","2022-10-08","0.5-0.99","inc hosp",0,20526
"36","2023-09-30","0.5-0.99","rate hosp",0,107373
"36","2023-09-30","0.5-0.99","inc hosp",0,107373
"36","2023-09-23","0.5-0.99","rate hosp",11.4,107373
"36","2023-09-23","0.5-0.99","inc hosp",12.240522,107373
"36","2023-09-16","0.5-0.99","rate hosp",0,107373
"36","2023-09-16","0.5-0.99","inc hosp",0,107373
"36","2023-09-09","0.5-0.99","rate hosp",0,107373
"36","2023-09-09","0.5-0.99","inc hosp",0,107373
"36","2023-09-02","0.5-0.99","rate hosp",11.4,107373
"36","2023-09-02","0.5-0.99","inc hosp",12.240522,107373
"36","2023-08-26","0.5-0.99","rate hosp",0,107373
"36","2023-08-26","0.5-0.99","inc hosp",0,107373
"36","2023-08-19","0.5-0.99","rate hosp",0,107373
"36","2023-08-19","0.5-0.99","inc hosp",0,107373
"36","2023-08-12","0.5-0.99","rate hosp",0,107373
"36","2023-08-12","0.5-0.99","inc hosp",0,107373
"36","2023-08-05","0.5-0.99","rate hosp",0,107373
"36","2023-08-05","0.5-0.99","inc hosp",0,107373
"36","2023-07-29","0.5-0.99","rate hosp",0,107373
"36","2023-07-29","0.5-0.99","inc hosp",0,107373
"36","2023-07-22","0.5-0.99","rate hosp",0,107373
"36","2023-07-22","0.5-0.99","inc hosp",0,107373
"36","2023-07-15","0.5-0.99","rate hosp",0,107373
"36","2023-07-15","0.5-0.99","inc hosp",0,107373
"36","2023-07-08","0.5-0.99","rate hosp",0,107373
"36","2023-07-08","0.5-0.99","inc hosp",0,107373
"36","2023-07-01","0.5-0.99","rate hosp",0,107373
"36","2023-07-01","0.5-0.99","inc hosp",0,107373
"36","2023-06-24","0.5-0.99","rate hosp",0,107373
"36","2023-06-24","0.5-0.99","inc hosp",0,107373
"36","2023-06-17","0.5-0.99","rate hosp",0,107373
"36","2023-06-17","0.5-0.99","inc hosp",0,107373
"36","2023-06-10","0.5-0.99","rate hosp",0,107373
"36","2023-06-10","0.5-0.99","inc hosp",0,107373
"36","2023-06-03","0.5-0.99","rate hosp",0,107373
"36","2023-06-03","0.5-0.99","inc hosp",0,107373
"36","2023-05-27","0.5-0.99","rate hosp",0,107373
"36","2023-05-27","0.5-0.99","inc hosp",0,107373
"36","2023-05-20","0.5-0.99","rate hosp",0,107373
"36","2023-05-20","0.5-0.99","inc hosp",0,107373
"36","2023-05-13","0.5-0.99","rate hosp",0,107373
"36","2023-05-13","0.5-0.99","inc hosp",0,107373
"36","2023-05-06","0.5-0.99","rate hosp",0,107373
